name,region,county,metres,latitude,longitude,Matthew,Scott,Amy,Emily,More folk please...,...,...,...,
Carn an Fhidhleir [Carn Ealar],06A: Glen Tromie to Glen Tilt,Aberdeenshire/Highland/Perth and Kinross,994,56.936029,-3.801535,,,,,,,,,
Sgurr na Ruaidhe,12A: Kyle of Lochalsh to Garve,Highland,993,57.441497,-4.852465,,,,,,,,,
Beinn Eighe - Spidean Coire nan Clach,13A: Loch Torridon to Loch Maree,Highland,993,57.582098,-5.403706,,,,,,,,,
Carn nan Gobhar (Loch Mullardoch),12B: Killilan to Inverness,Highland,992.3,57.363304,-5.024544,2024,,,,,,,,
Carn nan Gobhar (Strathfarrar),12A: Kyle of Lochalsh to Garve,Highland,992,57.452331,-4.879935,,,,,,,,,
Sgurr Alasdair,17B: Minginish and the Cuillin Hills,Highland,992,57.206589,-6.224143,,,,,,,,,
Sgairneach Mhor,05A: Loch Ericht to Glen Tromie & Glen Garry,Perth and Kinross,991.4,56.828406,-4.298084,,,,,,,,,
Beinn Eunaich,03C: Glen Etive to Glen Lochy,Argyll and Bute,989,56.450352,-5.026639,,,,,,,,,
Sgurr Ban,14A: Loch Maree to Loch Broom,Highland,989,57.718538,-5.265903,,,,,,,,,
Creag Leacach,07A: Braemar to Montrose,Angus/Perth and Kinross,988.2,56.85464,-3.387768,2021,,,,,,,,
Lurg Mhor,12A: Kyle of Lochalsh to Garve,Highland,987.5,57.413091,-5.223666,,,,,,,,,
Conival,16E: Scourie to Lairg,Highland,987.6,58.135689,-4.883497,2014,,,,,,,,
Gulvain [Gaor Bheinn],10D: Mallaig to Fort William,Highland,987,56.936211,-5.284527,,,,,,,,,
Beinn Alligin - Sgurr Mor,13A: Loch Torridon to Loch Maree,Highland,986,57.590829,-5.572765,,,,,,,,,
Sgurr Dearg - Inaccessible Pinnacle,17B: Minginish and the Cuillin Hills,Highland,985.8,57.213261,-6.234818,,,,,,,,,
Ben Vorlich (Loch Earn),01B: Strathyre to Strathallan,Perth and Kinross,985.3,56.34268,-4.219464,2016,2016,2022,2016,,,,,
Druim Shionnach,10A: Glen Shiel to Loch Hourn and Loch Quoich,Highland,985.2,57.126794,-5.182841,,,,,,,,,
Mullach na Dheiragain,11A: Loch Duich to Cannich,Highland,982,57.283399,-5.186333,,,,,,,,,
An Gearanach,04A: Fort William to Loch Treig & Loch Leven,Highland,981.5,56.759172,-4.96623,,,,,,,,,
Meall na Aighean,02A: Loch Rannoch to Glen Lyon,Perth and Kinross,981,56.620627,-4.128741,2025,,2025,,,,,,
Stob Coire a' Chairn,04A: Fort William to Loch Treig & Loch Leven,Highland,981.3,56.750756,-4.968985,,,,,,,,,
Ciste Dhubh,11A: Loch Duich to Cannich,Highland,981.1,57.199243,-5.209033,,,,,,,,,
Slioch,14A: Loch Maree to Loch Broom,Highland,981,57.667148,-5.347061,,,,,,,,,
Maol Chinn-dearg,10A: Glen Shiel to Loch Hourn and Loch Quoich,Highland,980.3,57.12756,-5.252651,,,,,,,,,
Beinn a' Chochuill,03C: Glen Etive to Glen Lochy,Argyll and Bute,980,56.44979,-5.068552,,,,,,,,,
Stob Coire Sgriodain,04B: Loch Treig to Loch Ericht,Highland,979,56.831744,-4.694934,,,,,,,,,
Beinn Dubhchraig,01D: Inveraray to Crianlarich,Stirling,978.6,56.391295,-4.743193,,,,,,,,,
Cona' Mheall,15A: Loch Broom to Strath Oykel,Highland,977.8,57.791077,-4.903418,,,,,,,,,
Stob Ban (Grey Corries),04A: Fort William to Loch Treig & Loch Leven,Highland,977,56.810656,-4.840877,,,,,,,,,
Meall nan Ceapraichean,15A: Loch Broom to Strath Oykel,Highland,976.8,57.798514,-4.934012,,,,,,,,,
Carn a' Gheoidh,06B: Pitlochry to Braemar & Blairgowrie,Aberdeenshire/Perth and Kinross,976.1,56.873065,-3.466616,2024,,2024,,,,,,
Beinn a' Ghlo - Carn Liath,06B: Pitlochry to Braemar & Blairgowrie,Perth and Kinross,975.8,56.80777,-3.74409,2025,,,,,,,,
Beinn Sgritheall,10A: Glen Shiel to Loch Hourn and Loch Quoich,Highland,974,57.153815,-5.579727,,,,,,,,,
Ben Lomond,01C: Loch Lomond to Strathyre,Stirling,973.7,56.190302,-4.63301,,2000,2019,,,,,,
A' Mharconaich,05A: Loch Ericht to Glen Tromie & Glen Garry,Highland,973.2,56.857002,-4.290668,,,,,,,,,
Stuc a' Chroin,01B: Strathyre to Strathallan,Perth and Kinross/Stirling,973,56.329315,-4.237533,2016,,2022,,,,,,
Sgurr a' Ghreadaidh,17B: Minginish and the Cuillin Hills,Highland,972.1,57.227313,-6.234425,,,,,,,,,
Aonach Eagach - Sgorr nam Fiannaidh,03A: Loch Leven to Rannoch Station,Highland,967.7,56.679387,-5.037143,,,,,,,,,
Meall Garbh (Carn Mairg),02A: Loch Rannoch to Glen Lyon,Perth and Kinross,967.5,56.637381,-4.207472,2025,,2025,,,,,,
Sgurr nan Gillean,17B: Minginish and the Cuillin Hills,Highland,966.1,57.248215,-6.193159,,,,,,,,,
A' Mhaighdean,14A: Loch Maree to Loch Broom,Highland,965.8,57.719653,-5.346738,,,,,,,,,
Ben More (Mull),17E: Mull and Nearby Islands,Argyll and Bute,966,56.424829,-6.013999,,,,,,,,,
Sgurr na Banachdich [Sgurr na Banachdaich],17B: Minginish and the Cuillin Hills,Highland,965,57.220972,-6.241638,,,,,,,,,
Carn a' Chlamain,06A: Glen Tromie to Glen Tilt,Perth and Kinross,963.5,56.860965,-3.779634,,,,,,,,,
Sgurr Thuilm,10D: Mallaig to Fort William,Highland,963,56.937056,-5.389207,,,,,,,,,
Ben Klibreck - Meall nan Con,16D: Altnaharra to Dornoch,Highland,962.1,58.235202,-4.41113,,,,,,,,,
Sgorr Ruadh,13B: Applecross to Achnasheen,Highland,960.7,57.498622,-5.407747,,,,,,,,,
Stuc an Lochain [Stuchd an Lochain],02A: Loch Rannoch to Glen Lyon,Perth and Kinross,959.5,56.570907,-4.470602,,,,,,,,,
Meall Glas,02B: Glen Lyon to Glen Dochart & Loch Tay,Stirling,959.3,56.455711,-4.546837,,,,,,,,,
